ID;set;A_cost;A_payback;A_selfconsumption;A_backup;B_cost;B_payback;B_selfconsumption;B_backup;optout;Choice
1;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
1;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
1;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
1;4;1000;5;30;One socket;3000;10;90;One socket;No battery;0
1;5;5000;10;60;One socket;7000;10;90;One socket;No battery;0
1;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
1;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
1;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
2;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
2;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
2;3;7000;15;60;One socket;7000;10;30;Full house;No battery;0
2;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
2;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
2;6;7000;5;60;Full house;3000;15;60;Full house;No battery;1
2;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
2;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
3;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
3;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
3;3;7000;15;60;One socket;7000;10;30;Full house;No battery;0
3;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
3;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
3;6;7000;5;60;Full house;3000;15;60;Full house;No battery;2
3;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
3;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
4;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
4;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
4;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
4;4;1000;5;30;One socket;3000;10;90;One socket;No battery;2
4;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
4;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
4;7;1000;10;60;One socket;5000;15;30;Full house;No battery;1
4;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
5;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
5;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
5;3;7000;15;60;One socket;7000;10;30;Full house;No battery;0
5;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
5;5;5000;10;60;One socket;7000;10;90;One socket;No battery;0
5;6;7000;5;60;Full house;3000;15;60;Full house;No battery;1
5;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
5;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
6;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
6;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
6;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
6;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
6;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
6;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
6;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
6;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
7;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
7;2;3000;5;60;One socket;1000;15;90;Full house;No battery;2
7;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
7;4;1000;5;30;One socket;3000;10;90;One socket;No battery;2
7;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
7;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
7;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
7;8;5000;10;60;Full house;3000;10;30;Full house;No battery;1
8;1;1000;10;60;Full house;5000;5;90;Full house;No battery;0
8;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
8;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
8;4;1000;5;30;One socket;3000;10;90;One socket;No battery;0
8;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
8;6;7000;5;60;Full house;3000;15;60;Full house;No battery;1
8;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
8;8;5000;10;60;Full house;3000;10;30;Full house;No battery;1
9;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
9;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
9;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
9;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
9;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
9;6;7000;5;60;Full house;3000;15;60;Full house;No battery;2
9;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
9;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
10;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
10;2;3000;5;60;One socket;1000;15;90;Full house;No battery;1
10;3;7000;15;60;One socket;7000;10;30;Full house;No battery;2
10;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
10;5;5000;10;60;One socket;7000;10;90;One socket;No battery;2
10;6;7000;5;60;Full house;3000;15;60;Full house;No battery;2
10;7;1000;10;60;One socket;5000;15;30;Full house;No battery;2
10;8;5000;10;60;Full house;3000;10;30;Full house;No battery;2
11;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
11;2;3000;5;60;One socket;1000;15;90;Full house;No battery;0
11;3;7000;15;60;One socket;7000;10;30;Full house;No battery;1
11;4;1000;5;30;One socket;3000;10;90;One socket;No battery;1
11;5;5000;10;60;One socket;7000;10;90;One socket;No battery;1
11;6;7000;5;60;Full house;3000;15;60;Full house;No battery;0
11;7;1000;10;60;One socket;5000;15;30;Full house;No battery;0
11;8;5000;10;60;Full house;3000;10;30;Full house;No battery;0
12;1;1000;10;60;Full house;5000;5;90;Full house;No battery;1
